,index,Restaurant,Location,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
3231,6011,ID_5542,"Rmz Centennial, I Gate, Whitefield",200,50,3.6,43,16,45
8721,7102,ID_5543,"D-Block, Sector 63, Noida",100,50,3.6,22,13,30
578,899,ID_5545,"Rmz Centennial, I Gate, Whitefield",150,50,-,-,-,30
1395,3676,ID_5545,"Sector 3, Marathalli",150,50,-,-,-,30
6739,28,ID_5547,"Dockyard Road, Mumbai CST Area",150,50,3.3,44,19,45
4708,5566,ID_5549,"Sector 63A,Gurgaon",150,50,3.0,32,20,30
6980,10104,ID_555,"Babarpur, New Delhi, Delhi",200,50,3.7,50,23,30
5192,4971,ID_5550,"D-Block, Sector 63, Noida",200,50,3.4,25,9,30
2831,10677,ID_5551,Delhi University-GTB Nagar,100,50,3.7,97,82,30
2414,7232,ID_5551,"D-Block, Sector 63, Noida",100,50,3.6,-,-,30
5212,5722,ID_5552,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.8,186,79,45
1215,3437,ID_5553,"FTI College, Law College Road, Pune",150,50,3.3,10,-,30
6826,749,ID_5554,"Musi Nagar, Malakpet, Hyderabad",100,99,3.5,266,25,65
6580,9925,ID_5554,"Jaya Nagar, Saidabad, Hyderabad",100,99,3.5,266,25,65
2054,1784,ID_5556,"D-Block, Sector 63, Noida",150,50,3.5,30,4,30
8128,10211,ID_5557,"BTM Layout 1, Electronic City",100,50,4.1,91,30,65
2964,2020,ID_5557,"Sector 14, Noida",100,99,3.7,79,18,45
8046,862,ID_5558,"FTI College, Law College Road, Pune",350,50,3.9,527,232,45
3368,10550,ID_5558,Pune University,350,50,3.9,527,232,45
4367,3814,ID_556,"Sandhurst Road, Mumbai CST Area",250,50,4.1,956,431,30
3109,9644,ID_556,"Mico Layout, Stage 2, BTM Layout,Bangalore",250,50,4.0,193,89,30
7083,9918,ID_556,"Dockyard Road, Mumbai CST Area",250,50,4.1,956,431,30
2464,6707,ID_5564,"Gora Bazar, Rajbari, North Dumdum, Kolkata",150,50,3.4,29,11,30
2208,2894,ID_5565,"Moulali, Kolkata",150,50,3.5,17,11,30
6749,5918,ID_5566,"Raja Bazar, Kolkata",500,50,3.8,161,87,30
693,7112,ID_5566,"Chandni Chowk, Kolkata",500,50,3.8,161,87,30
82,5693,ID_5567,"Sandhurst Road, Mumbai CST Area",200,50,3.8,50,32,30
3454,3922,ID_5567,"Dockyard Road, Mumbai CST Area",200,50,3.8,50,32,30
2669,2998,ID_5567,Mumbai Central,200,50,3.8,50,32,30
2955,3984,ID_5568,Delhi Cantt.,200,50,3.3,11,4,30
72,850,ID_557,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,99,3.5,32,4,45
3285,4007,ID_5571,"Noorkhan Bazaar, Malakpet, Hyderabad",150,50,3.4,190,10,30
1909,9994,ID_5571,"Musi Nagar, Malakpet, Hyderabad",150,50,3.4,190,10,30
7397,10653,ID_5571,"Chatta Bazaar, Malakpet, Hyderabad",150,50,3.4,190,10,30
461,8965,ID_5571,"Panjetan Colony, Malakpet, Hyderabad",150,50,3.4,190,10,30
3197,6904,ID_5572,"Sector 1, Noida",200,50,3.6,62,29,30
5240,8819,ID_5572,"Sector 14, Noida",200,50,3.6,62,29,30
8756,8661,ID_5573,Delhi Cantt.,150,50,3.7,65,48,30
8551,216,ID_5574,Delhi University-GTB Nagar,150,50,NEW,-,-,30
6337,5885,ID_5576,Delhi University-GTB Nagar,200,50,3.4,221,22,65
5911,5633,ID_5577,"Delhi Administration Flats, Timarpur",200,50,3.4,13,8,30
2788,4614,ID_5578,"Sector 14, Noida",250,50,3.2,27,18,30
8000,3397,ID_5579,"Delhi Administration Flats, Timarpur",150,50,3.5,73,7,65
6956,895,ID_558,"Sector 14, Noida",100,50,NEW,-,-,30
4675,7692,ID_558,"Sector 1, Noida",100,50,NEW,-,-,30
5241,7097,ID_5580,Majestic,600,50,Temporarily Closed,894,-,30
6529,9960,ID_5581,Delhi Cantt.,200,99,4.1,380,158,45
186,2922,ID_5582,"Gora Bazar, Rajbari, North Dumdum, Kolkata",150,50,4.3,112,73,30
4330,2287,ID_5585,Mumbai Central,600,50,3.9,270,139,30
6456,3628,ID_5587,"BTM Layout 1, Electronic City",150,50,4.1,262,86,45
1330,10188,ID_5587,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,4.1,262,86,45
4905,4119,ID_5589,Delhi University-GTB Nagar,200,50,3.3,7,4,30
6984,7181,ID_5590,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,-,-,-,30
420,957,ID_5591,"D-Block, Sector 63, Noida",200,50,3.5,72,29,45
6601,6616,ID_5593,Majestic,200,50,3.8,31,13,30
676,3212,ID_5594,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",250,50,3.7,179,46,45
1958,5683,ID_5595,"Sandhurst Road, Mumbai CST Area",200,50,4.1,432,201,45
15,6833,ID_5598,"Babarpur, New Delhi, Delhi",150,50,3.4,18,4,30
4442,1239,ID_56,"Sector 63A,Gurgaon",350,50,4.2,164,115,45
6060,4764,ID_560,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.6,14,4,30
621,6245,ID_5600,"Delhi Administration Flats, Timarpur",100,50,3.1,4,-,30
638,9736,ID_5601,"Sector 3, Marathalli",100,50,3.3,22,8,30
8325,221,ID_5602,"Sector 1, Noida",250,50,2.8,27,11,30
7669,8516,ID_5603,Mumbai Central,100,50,3.9,59,45,30
7759,9951,ID_5605,"Raja Bazar, Kolkata",400,99,4.3,1028,728,65
3206,6321,ID_5605,"Chandni Chowk, Kolkata",400,99,4.3,1028,728,65
1531,1169,ID_5605,"Tiretti, Kolkata",400,99,4.3,1028,728,65
2816,3392,ID_5607,"Delhi High Court, India Gate",100,50,3.4,17,3,30
6260,6811,ID_5608,"Babarpur, New Delhi, Delhi",150,50,3.3,9,2,30
551,7566,ID_5609,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.9,686,379,45
7465,4984,ID_561,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.9,53,43,30
5111,1444,ID_5610,"Delhi High Court, India Gate",750,50,4.1,1504,938,45
3024,5301,ID_5612,"Mico Layout, Stage 2, BTM Layout,Bangalore",450,50,4.1,244,123,30
256,1045,ID_5613,"Delhi High Court, India Gate",150,50,3.7,81,18,45
3228,1410,ID_5615,"Sector 1, Noida",100,50,3.3,11,1,30
4874,7148,ID_5616,Mumbai Central,200,99,3.8,140,80,45
7278,4566,ID_5618,Delhi University-GTB Nagar,200,50,3.9,164,81,30
4493,5137,ID_5618,"Delhi Administration Flats, Timarpur",200,50,3.9,164,81,30
5492,5991,ID_5619,Delhi University-GTB Nagar,200,50,3.8,254,118,45
8387,3178,ID_5619,"Delhi Administration Flats, Timarpur",200,50,3.8,254,118,45
1456,890,ID_562,"Sector 1, Noida",300,50,4.5,450,285,30
5050,4755,ID_5620,"Sector 3, Marathalli",300,50,3.6,45,32,30
6737,7522,ID_5620,"Rmz Centennial, I Gate, Whitefield",300,50,3.6,45,32,30
1863,10431,ID_5621,Majestic,150,50,NEW,-,-,30
5165,2871,ID_5622,"D-Block, Sector 63, Noida",200,50,3.2,12,3,30
7678,7223,ID_5625,"Sandhurst Road, Mumbai CST Area",400,50,4.1,3346,1641,65
2043,8986,ID_5625,Mumbai Central,400,50,4.1,3346,1641,65
7089,3562,ID_5626,"MG Road, Pune",200,50,3.3,10,5,30
3290,2524,ID_5626,"Nathan Road, Mangaldas Road, Pune",200,50,3.3,10,5,30
2351,1092,ID_5627,"Babarpur, New Delhi, Delhi",150,50,NEW,-,-,30
601,8319,ID_5628,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",250,50,3.4,32,12,45
8734,2927,ID_5629,"FTI College, Law College Road, Pune",200,50,2.8,256,144,30
8655,2049,ID_5630,Pune University,250,50,3.4,26,8,30
6366,6045,ID_5631,"FTI College, Law College Road, Pune",50,50,3.2,6,1,30
5221,5680,ID_5632,"FTI College, Law College Road, Pune",100,50,3.6,51,24,30
876,4897,ID_5633,Mumbai Central,200,99,4.3,110,76,45
1475,8868,ID_5634,"Sector 63A,Gurgaon",400,50,-,-,-,30
3252,2879,ID_5635,"Rmz Centennial, I Gate, Whitefield",250,99,3.9,154,96,45
7475,10631,ID_5636,"D-Block, Sector 63, Noida",300,50,3.5,45,9,45
4624,819,ID_5637,"D-Block, Sector 63, Noida",250,50,3.8,416,231,65
2791,7037,ID_5638,"Nathan Road, Mangaldas Road, Pune",250,50,3.8,57,35,30
7748,8802,ID_5639,Delhi University-GTB Nagar,350,50,4.5,808,465,45
5551,2995,ID_5639,"Delhi Administration Flats, Timarpur",350,50,4.5,808,465,45
5444,2948,ID_564,"Rmz Centennial, I Gate, Whitefield",200,50,3.2,6,4,30
2894,9162,ID_5640,Pune University,200,50,4.0,483,90,45
5689,3822,ID_5641,"D-Block, Sector 63, Noida",200,50,3.3,10,8,30
581,7678,ID_5642,"Tejas Nagar Colony, Wadala West, Mumbai",300,50,4.6,87,81,30
2011,1051,ID_5643,"Delhi Administration Flats, Timarpur",200,50,3.9,23,17,30
67,8971,ID_5644,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,99,3.7,39,16,65
94,6341,ID_5646,"Sector 63A,Gurgaon",400,50,3.7,55,24,30
3533,6627,ID_5647,"Rmz Centennial, I Gate, Whitefield",150,50,3.2,29,12,30
2185,9810,ID_5648,"FTI College, Law College Road, Pune",200,50,3.8,27,18,30
3612,2971,ID_5648,Pune University,200,50,3.4,128,100,45
6731,10605,ID_5650,"Sector 63A,Gurgaon",300,50,NEW,-,-,30
1246,4352,ID_5652,"Sector 1, Noida",550,0,3.9,289,178,45
4380,803,ID_5652,"Sector 14, Noida",550,99,3.7,1072,609,45
3381,3594,ID_5653,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",250,99,3.4,138,40,65
6989,9431,ID_5654,"Sector 14, Noida",200,50,3.2,4,3,30
1571,2643,ID_5656,"Yerawada, Pune, Maharashtra",300,50,3.5,107,56,45
1365,9390,ID_5656,"MG Road, Pune",300,50,3.5,107,56,45
2065,2074,ID_5656,"Nathan Road, Mangaldas Road, Pune",300,50,3.5,107,56,45
83,5565,ID_5657,"Sector 1, Noida",250,50,NEW,-,-,30
3587,9658,ID_5657,"Sector 14, Noida",250,50,NEW,-,-,30
132,4913,ID_5659,"Rmz Centennial, I Gate, Whitefield",400,50,3.1,37,15,30
2262,3294,ID_5660,"Sector 14, Noida",200,50,2.7,20,6,30
7157,5627,ID_5660,"Babarpur, New Delhi, Delhi",200,50,3.7,49,8,30
4666,9333,ID_5661,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,50,3.5,35,9,45
7903,6633,ID_5662,"Sector 1, Noida",150,50,3.7,53,41,10
1959,5488,ID_5662,"Sector 14, Noida",150,50,3.7,53,41,10
8115,326,ID_5663,Delhi Cantt.,100,50,3.7,62,22,30
2182,10042,ID_5664,"Dockyard Road, Mumbai CST Area",150,50,3.9,255,47,45
5487,2123,ID_5664,"Sandhurst Road, Mumbai CST Area",150,50,3.9,255,47,45
5976,6222,ID_5665,"Delhi High Court, India Gate",650,50,4.3,975,511,45
5473,2547,ID_5666,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,3.8,104,58,30
203,1827,ID_567,"Mico Layout, Stage 2, BTM Layout,Bangalore",400,50,4.3,886,530,65
3157,6649,ID_5670,"Delhi High Court, India Gate",250,50,3.5,70,18,45
3486,4826,ID_5673,Delhi Cantt.,350,50,4.0,676,532,65
6738,7617,ID_5674,"Yerawada, Pune, Maharashtra",150,50,-,-,-,45
4234,3875,ID_5675,"Delhi Administration Flats, Timarpur",250,99,3.7,438,273,45
682,1809,ID_5675,Delhi University-GTB Nagar,250,99,3.7,438,273,45
3879,9673,ID_5678,"Rmz Centennial, I Gate, Whitefield",200,50,3.9,53,32,30
5893,1877,ID_5679,Mumbai Central,200,50,3.6,33,13,45
6424,4519,ID_5681,"Delhi Administration Flats, Timarpur",50,50,3.1,5,2,30
6239,497,ID_5683,"D-Block, Sector 63, Noida",100,50,NEW,-,-,30
5432,10371,ID_5686,Delhi Cantt.,100,50,3.9,108,32,30
3930,7320,ID_5689,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,NEW,-,-,30
2395,6920,ID_5691,Delhi Cantt.,200,99,3.2,85,17,45
6661,5989,ID_5693,"D-Block, Sector 63, Noida",200,50,3.7,164,106,30
7400,5838,ID_5695,"Nathan Road, Mangaldas Road, Pune",150,50,-,-,-,30
4075,8517,ID_5695,"MG Road, Pune",150,50,-,-,-,30
566,4903,ID_5695,"Delhi Administration Flats, Timarpur",100,50,3.3,151,12,45
4709,4395,ID_5695,Delhi University-GTB Nagar,100,50,3.3,151,12,45
7941,4048,ID_5696,Delhi Cantt.,200,50,3.3,51,12,45
518,11012,ID_5697,"D-Block, Sector 63, Noida",100,50,2.7,48,15,45
3524,8384,ID_5698,"Delhi Administration Flats, Timarpur",200,50,3.5,208,105,30
4440,6385,ID_5698,"Delhi Administration Flats, Timarpur",200,50,3.5,30,13,30
2997,7588,ID_5699,Mumbai Central,300,50,3.8,241,148,65
2176,1926,ID_5699,"Dockyard Road, Mumbai CST Area",300,50,3.8,241,148,65
6642,9479,ID_57,"Rmz Centennial, I Gate, Whitefield",200,50,3.9,47,30,30
1202,9115,ID_570,"Panjetan Colony, Malakpet, Hyderabad",50,50,-,-,-,30
2102,8968,ID_570,"Chatta Bazaar, Malakpet, Hyderabad",50,50,-,-,-,30
4938,4105,ID_570,"Musi Nagar, Malakpet, Hyderabad",50,50,-,-,-,30
4085,10714,ID_570,"Noorkhan Bazaar, Malakpet, Hyderabad",50,50,-,-,-,30
8102,2055,ID_5700,Delhi Cantt.,200,50,-,-,-,30
8669,9358,ID_5701,Delhi Cantt.,200,50,3.5,23,4,30
4169,3810,ID_5702,Delhi Cantt.,200,50,3.4,26,5,30
7007,4742,ID_5703,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.6,275,64,30
7428,6356,ID_5703,"D-Block, Sector 63, Noida",200,50,3.7,80,36,30
59,4454,ID_5704,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,-,-,-,30
2971,10209,ID_5705,"D-Block, Sector 63, Noida",150,50,3.9,173,155,30
1106,7806,ID_5706,"Babarpur, New Delhi, Delhi",200,50,-,-,-,30
1647,7710,ID_5707,"Babarpur, New Delhi, Delhi",200,50,3.1,7,-,30
379,8983,ID_5708,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,3.4,53,15,30
8058,334,ID_5708,"Sector 63A,Gurgaon",300,50,3.7,530,165,45
659,905,ID_5708,"FTI College, Law College Road, Pune",400,200,2.8,772,357,45
7454,4052,ID_5708,"Rmz Centennial, I Gate, Whitefield",300,50,3.8,554,272,30
1216,8132,ID_5708,"Sector 1, Noida",400,50,3.8,444,331,30
8873,1799,ID_5708,Delhi University-GTB Nagar,400,50,3.8,630,240,30
8445,6179,ID_5708,"Sandhurst Road, Mumbai CST Area",400,200,3.7,1723,1251,45
7965,5064,ID_5708,"Sector 3, Marathalli",300,50,2.3,352,132,30
3152,3637,ID_5708,"MG Road, Pune",400,50,3.6,473,306,45
2676,517,ID_5708,"Delhi Administration Flats, Timarpur",400,50,3.8,630,240,30
3234,8725,ID_5708,Majestic,300,50,3.8,533,265,45
5829,2346,ID_5708,"Nathan Road, Mangaldas Road, Pune",400,50,3.6,473,306,45
6117,3606,ID_5710,Delhi Cantt.,200,50,-,-,-,30
2507,10020,ID_5711,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,-,-,-,45
3787,5976,ID_5711,"Babarpur, New Delhi, Delhi",100,50,-,-,-,30
3751,5589,ID_5712,"Delhi Administration Flats, Timarpur",200,50,3.0,5,1,30
849,4769,ID_5713,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",150,50,3.0,28,13,30
8514,8467,ID_5715,"D-Block, Sector 63, Noida",200,50,3.8,142,123,30
6608,1470,ID_5716,"Delhi Administration Flats, Timarpur",200,50,3.6,43,14,30
6244,8023,ID_5718,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,3.0,12,4,30
8120,111,ID_5719,"Mico Layout, Stage 2, BTM Layout,Bangalore",200,50,3.5,87,37,45
7599,4789,ID_572,"Delhi Administration Flats, Timarpur",200,50,3.7,42,9,30
1848,7899,ID_572,Delhi University-GTB Nagar,200,50,3.7,42,9,30
4844,4619,ID_572,"D-Block, Sector 63, Noida",200,50,3.7,61,28,30
4247,4748,ID_5720,Delhi University-GTB Nagar,150,50,NEW,-,-,30
4878,8826,ID_5721,"Babarpur, New Delhi, Delhi",100,50,NEW,-,-,30
1821,2526,ID_5722,Delhi Cantt.,100,50,3.4,24,2,30
1488,10673,ID_5726,"Babarpur, New Delhi, Delhi",150,50,3.3,8,3,30
6214,7784,ID_5727,Mumbai Central,200,99,2.4,38,18,65
1184,2744,ID_5727,"Dockyard Road, Mumbai CST Area",200,99,2.4,38,18,65
8340,8615,ID_5728,"Sector 1, Noida",150,50,-,-,-,30
4432,4750,ID_573,"D-Block, Sector 63, Noida",200,50,-,-,-,30
5163,8948,ID_5731,Delhi University-GTB Nagar,150,50,3.8,148,41,45
5219,9912,ID_5731,"Delhi Administration Flats, Timarpur",150,50,3.8,148,41,45
5417,10388,ID_5732,"Sector 3, Marathalli",250,50,-,-,-,30
8726,7827,ID_5733,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.2,30,9,30
6528,4348,ID_5734,"Babarpur, New Delhi, Delhi",150,50,3.6,36,25,30
5558,3576,ID_5735,Mumbai Central,150,50,NEW,-,-,30
7406,8359,ID_5736,"Babarpur, New Delhi, Delhi",200,50,3.3,-,-,30
1312,833,ID_5739,"Delhi Administration Flats, Timarpur",150,50,3.1,4,2,30
4334,3989,ID_5739,"Babarpur, New Delhi, Delhi",150,50,3.1,4,2,30
744,1642,ID_574,"Sandhurst Road, Mumbai CST Area",100,50,-,-,-,30
709,3911,ID_5741,Delhi Cantt.,200,50,2.8,84,17,45
3856,1897,ID_5742,"Sector 1, Noida",200,50,3.4,9,9,30
2484,8526,ID_5743,"Babarpur, New Delhi, Delhi",200,50,3.3,22,2,65
283,7397,ID_5744,"Babarpur, New Delhi, Delhi",200,50,NEW,-,-,30
7676,3384,ID_5745,"Sector 63A,Gurgaon",100,50,NEW,-,-,30
857,4966,ID_5746,"Sector 1, Noida",800,50,4.4,3315,2084,45
219,8548,ID_5746,Mumbai Central,400,50,3.5,77,12,65
2235,9992,ID_5746,"Sector 14, Noida",800,50,4.4,3315,2084,45
1070,8368,ID_5747,Delhi University-GTB Nagar,200,50,3.7,104,45,30
7112,594,ID_575,"Chandni Chowk, Kolkata",100,50,3.1,7,2,30
5810,8116,ID_5750,"Sector 14, Noida",200,50,3.7,745,148,45
6145,3127,ID_5750,"Sector 1, Noida",200,50,3.7,745,148,45
3113,8243,ID_5750,"D-Block, Sector 63, Noida",200,50,3.7,99,32,30
1110,5621,ID_5751,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,3.9,74,11,30
234,7563,ID_5752,"D-Block, Sector 63, Noida",200,50,NEW,-,-,30
7074,2807,ID_5753,"D-Block, Sector 63, Noida",200,99,3.4,102,68,45
1509,8031,ID_5753,"FTI College, Law College Road, Pune",150,50,3.1,5,1,30
4841,2397,ID_5754,Pune University,200,50,3.3,86,48,45
4098,4993,ID_5755,"Nathan Road, Mangaldas Road, Pune",200,50,4.0,200,13,30
3466,10927,ID_5757,Delhi University-GTB Nagar,100,50,3.2,8,2,30
5817,10899,ID_5758,"Yerawada, Pune, Maharashtra",200,50,2.8,94,45,45
8842,9845,ID_5759,"D-Block, Sector 63, Noida",200,50,-,-,-,30
8782,9107,ID_576,"Sector 1, Noida",650,50,4.1,686,484,65
8164,8655,ID_576,"Sector 14, Noida",650,50,4.1,686,484,65
3982,3882,ID_5760,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,99,3.4,88,45,65
7957,3899,ID_5761,"FTI College, Law College Road, Pune",150,50,3.1,7,5,30
8848,3970,ID_5762,"Sector 1, Noida",600,50,3.4,129,83,30
5898,1411,ID_5764,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",200,50,-,-,-,30
2321,10146,ID_5765,"Delhi Administration Flats, Timarpur",200,50,3.4,22,3,30
7052,743,ID_5765,Delhi University-GTB Nagar,200,50,3.4,22,3,30
8365,3997,ID_5766,Delhi University-GTB Nagar,200,50,-,-,-,30
7517,2488,ID_5766,"Delhi Administration Flats, Timarpur",200,50,-,-,-,30
1758,1913,ID_5767,Delhi University-GTB Nagar,200,50,-,-,-,30
3457,1884,ID_5768,"Rmz Centennial, I Gate, Whitefield",100,50,3.9,17,11,30
320,1508,ID_5769,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,4.2,726,110,45
7401,3587,ID_577,"Sandhurst Road, Mumbai CST Area",200,99,4.1,2896,1444,45
6631,3060,ID_5771,Mumbai Central,200,50,4.0,121,80,30
1866,9023,ID_5772,"Mico Layout, Stage 2, BTM Layout,Bangalore",150,50,4.3,286,91,45
2356,6394,ID_5772,"Sector 3, Marathalli",150,50,4.3,174,77,65
8455,586,ID_5773,"Nathan Road, Mangaldas Road, Pune",150,50,NEW,-,-,45
95,9762,ID_5773,"MG Road, Pune",150,50,NEW,-,-,45
1066,9310,ID_5774,Pune University,600,50,4.3,2266,1224,65
5901,1810,ID_5775,"Babarpur, New Delhi, Delhi",150,50,3.9,58,44,30
6254,7842,ID_5776,"Delhi High Court, India Gate",350,99,4.9,1793,1028,45
3475,11074,ID_5777,"Musi Nagar, Malakpet, Hyderabad",100,50,3.0,6,1,30
8773,9357,ID_5777,"Noorkhan Bazaar, Malakpet, Hyderabad",100,50,3.0,6,1,30
7137,7830,ID_5777,"Chatta Bazaar, Malakpet, Hyderabad",100,50,3.0,6,1,30
3753,479,ID_5778,"MG Road, Pune",200,50,3.7,68,26,30
7493,5403,ID_5778,"Nathan Road, Mangaldas Road, Pune",200,50,3.7,68,26,30
972,655,ID_5779,"FTI College, Law College Road, Pune",150,50,4.3,140,55,30
3591,2216,ID_578,"Dockyard Road, Mumbai CST Area",150,50,-,-,-,30
8578,1863,ID_5780,"MG Road, Pune",200,50,3.3,17,5,30
2870,3630,ID_5780,"Nathan Road, Mangaldas Road, Pune",200,50,3.3,17,5,30
6600,4935,ID_5781,Pune University,200,50,2.8,32,10,45
6954,8415,ID_5784,"Delhi Administration Flats, Timarpur",150,50,4.0,94,49,45
22,7489,ID_5784,Delhi University-GTB Nagar,150,50,4.0,94,49,45
1938,1267,ID_5786,"Sector 63A,Gurgaon",200,50,3.2,5,3,30
6854,5893,ID_5787,"Sector 14, Noida",200,200,3.9,336,217,120
358,9601,ID_5787,"Sector 1, Noida",200,200,3.9,336,217,120
4682,7398,ID_5789,"Sector 14, Noida",150,50,3.1,4,-,30
6182,5254,ID_579,Mumbai Central,150,50,NEW,-,-,30
3463,4573,ID_579,"Sandhurst Road, Mumbai CST Area",150,50,NEW,-,-,30
3386,6541,ID_579,"Dockyard Road, Mumbai CST Area",150,50,NEW,-,-,30
6702,10430,ID_5790,"Sector 1, Noida",200,50,3.5,62,4,30
6798,518,ID_5791,"D-Block, Sector 63, Noida",250,50,-,-,-,65
3577,2013,ID_5794,"D-Block, Sector 63, Noida",200,50,3.3,16,6,30
1881,7345,ID_5796,Majestic,300,50,3.7,20,12,30
1160,9472,ID_5796,"Rmz Centennial, I Gate, Whitefield",300,99,4.0,205,107,65
4103,6997,ID_5796,"Mico Layout, Stage 2, BTM Layout,Bangalore",300,50,4.1,131,67,65
4478,6738,ID_5798,"Babarpur, New Delhi, Delhi",200,50,3.2,7,2,30
3916,3282,ID_5799,"FTI College, Law College Road, Pune",100,50,-,-,-,30
8060,8730,ID_58,"D-Block, Sector 63, Noida",200,50,3.5,56,24,30
27,6399,ID_5801,"Sector 1, Noida",100,50,4.0,456,126,45
3213,4465,ID_5802,Delhi University-GTB Nagar,350,50,3.6,397,119,45
6468,671,ID_5802,"Delhi Administration Flats, Timarpur",350,50,3.6,397,119,45
6555,11053,ID_5803,Majestic,100,50,3.8,33,11,30
4528,4253,ID_5806,Delhi University-GTB Nagar,50,50,-,-,-,30
8271,7306,ID_5807,"FTI College, Law College Road, Pune",100,50,-,-,-,30
3120,4192,ID_5808,"Babarpur, New Delhi, Delhi",50,50,3.3,13,5,30
754,7059,ID_5809,Majestic,150,50,3.8,109,17,30
7158,10002,ID_581,"Delhi Administration Flats, Timarpur",150,50,3.8,287,68,45
1697,7029,ID_5810,"D-Block, Sector 63, Noida",200,99,3.0,8,2,65
756,10386,ID_5813,"Gora Bazar, Rajbari, North Dumdum, Kolkata",100,50,-,-,-,30
924,6003,ID_5814,"Rmz Centennial, I Gate, Whitefield",200,50,3.3,15,4,30
6902,464,ID_5817,Delhi Cantt.,150,50,3.9,1450,307,45
2240,2052,ID_5818,Delhi University-GTB Nagar,300,50,4.0,809,214,30
860,4955,ID_5819,"Sector 14, Noida",200,50,3.4,23,14,30
8776,7752,ID_5819,"Sector 1, Noida",200,50,3.4,23,14,30
274,5436,ID_582,"D-Block, Sector 63, Noida",150,50,NEW,-,-,30
7215,6413,ID_5820,"Nathan Road, Mangaldas Road, Pune",550,50,4.3,2618,1246,65
2691,10487,ID_5820,"MG Road, Pune",550,50,4.3,2618,1246,65
817,7442,ID_5820,"Yerawada, Pune, Maharashtra",550,50,4.3,2618,1246,65
7167,3980,ID_5822,"Rmz Centennial, I Gate, Whitefield",100,50,3.3,6,1,45
3514,10674,ID_5824,Delhi University-GTB Nagar,100,50,NEW,-,-,30
3943,10400,ID_5827,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,-,-,-,30
6044,3975,ID_5828,"Sector 1, Noida",200,50,3.7,75,21,30
7953,8421,ID_583,"Tejas Nagar Colony, Wadala West, Mumbai",200,50,-,-,-,30
2163,3547,ID_5831,"Babarpur, New Delhi, Delhi",100,50,3.6,52,26,30
2067,469,ID_5832,"D-Block, Sector 63, Noida",200,50,3.6,92,49,30
1714,9961,ID_5833,"Sector 14, Noida",100,50,3.6,76,20,30
8380,10060,ID_5833,"Sector 1, Noida",100,50,3.6,76,20,30
8630,5903,ID_5835,Mumbai Central,100,50,3.9,127,39,45
8107,9347,ID_5835,"Dockyard Road, Mumbai CST Area",100,50,3.9,127,39,45
6534,10972,ID_5836,"Babarpur, New Delhi, Delhi",100,50,3.4,21,3,30
2324,3455,ID_5838,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,-,-,-,30
3542,2342,ID_5839,"Mico Layout, Stage 2, BTM Layout,Bangalore",100,50,3.5,91,13,45
6799,7378,ID_584,Delhi Cantt.,150,50,3.6,22,12,30
7258,8587,ID_5840,"D-Block, Sector 63, Noida",250,99,2.9,70,43,65
6670,9525,ID_5841,"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",100,99,3.1,5,3,45
6968,9217,ID_5843,Pune University,200,99,3.4,135,38,65
8608,2462,ID_5845,Pune University,150,50,2.8,27,6,45
8287,9278,ID_5846,"Raja Bazar, Kolkata",200,50,3.0,8,1,30
3182,406,ID_5847,"Sandhurst Road, Mumbai CST Area",250,50,-,-,-,30
2195,8946,ID_5848,"Delhi Administration Flats, Timarpur",200,50,3.2,11,6,30
2441,4843,ID_5849,"Mico Layout, Stage 2, BTM Layout,Bangalore",400,50,4.3,1487,885,30
8499,10797,ID_585,Majestic,150,50,2.9,7,3,30
2364,6216,ID_5850,"Delhi Administration Flats, Timarpur",300,50,-,-,-,65
2678,975,ID_5850,Delhi Cantt.,100,50,NEW,-,-,30
